"method","target","year","rmse","runtime_sec"
"P_XGBoost",1,2017,3.61059296114568,1.87
"P_XGBoost",2,2017,4.78767201764443,1.83
"P_XGBoost",3,2017,3.66528099137241,2.17
"P_XGBoost",4,2017,4.01832751034337,2.33
"P_XGBoost",5,2017,3.07481100980838,2.29
"P_XGBoost",6,2017,2.80023494996186,2.23
"P_XGBoost",7,2017,4.01635406688488,2.27
"P_XGBoost",8,2017,3.08087167999766,2.33
"P_XGBoost",9,2017,3.74032076305355,3.3
"P_XGBoost",10,2017,3.91170447776279,2.38
"P_XGBoost",11,2017,4.40926683250517,2.28
"P_XGBoost",12,2017,3.78263143977194,2.25
"P_XGBoost",13,2017,3.24917748897765,2.3
"P_XGBoost",14,2017,3.65497505124577,2.11
"P_XGBoost",15,2017,3.03228382919017,1.74
"P_XGBoost",16,2017,2.35901532863889,1.71
"P_XGBoost",17,2017,6.58797689454502,2
"P_XGBoost",18,2017,2.72241712609588,2.02
"P_XGBoost",19,2017,2.8558908899735,2.11
"P_XGBoost",20,2017,3.80081878487786,2.14
"P_XGBoost",21,2017,2.27723141957865,2.08
"P_XGBoost",22,2017,3.83887349204387,1.94
"P_XGBoost",23,2017,4.05930218582613,1.86
"P_XGBoost",24,2017,3.3383292490649,1.85
"P_XGBoost",25,2017,4.91671104049808,2.43
"P_XGBoost",26,2017,3.10863768554216,2.69
"P_XGBoost",27,2017,3.25910247329436,2.54000000000001
"P_XGBoost",28,2017,2.54338615706403,3.05000000000001
"P_XGBoost",29,2017,2.93765359269676,2.77
"P_XGBoost",30,2017,2.90234970910334,1.81
"P_XGBoost",31,2017,2.93670288727031,1.69000000000001
"P_XGBoost",32,2017,2.77303331314372,1.65000000000001
"P_XGBoost",33,2017,4.09430592141142,1.67
"P_XGBoost",34,2017,3.16440944895926,1.77
"P_XGBoost",35,2017,2.96399122589232,1.71000000000001
"P_XGBoost",36,2017,3.08642494990448,1.68000000000001
"P_XGBoost",37,2017,4.57995248018718,1.69
"P_XGBoost",38,2017,3.93124864180075,1.67
"P_XGBoost",39,2017,2.87380450504085,1.7
"P_XGBoost",40,2017,3.61671235461372,1.7
"P_XGBoost",41,2017,4.72935293258018,1.75
"P_XGBoost",42,2017,2.6309504832126,1.77
"P_XGBoost",43,2017,2.5854075588084,1.69
"P_XGBoost",44,2017,5.35187267234561,1.7
"P_XGBoost",45,2017,3.5029322114065,1.67999999999999
"P_XGBoost",46,2017,3.24126065448161,1.79000000000001
"P_XGBoost",47,2017,3.01167204963922,1.74000000000001
"P_XGBoost",48,2017,4.28505555985121,1.81
"P_XGBoost",49,2017,4.41095862860516,1.69999999999999
"P_XGBoost",50,2017,4.03541686002708,1.69000000000001
"P_XGBoost",51,2017,3.36745358339196,1.71000000000001
"P_XGBoost",52,2017,3.63245646518067,1.71000000000001
"P_XGBoost",53,2017,3.38091263835388,1.68000000000001
"P_XGBoost",54,2017,6.96725534174014,1.66
"P_XGBoost",55,2017,4.0483146192691,1.66999999999999
"P_XGBoost",56,2017,3.94804056281155,1.69
"P_XGBoost",57,2017,4.79870848516452,1.64999999999999
"P_XGBoost",58,2017,7.93794562165434,1.68000000000001
"P_XGBoost",59,2017,8.05907586713121,1.75
"P_XGBoost",60,2017,4.57861699044495,1.66999999999999
"P_XGBoost",61,2017,3.86710004190759,1.72
"P_XGBoost",62,2017,6.50890660617083,1.68000000000001
"P_XGBoost",63,2017,3.92762981952294,1.66
"P_XGBoost",64,2017,4.99250231005038,1.68000000000001
"P_XGBoost",65,2017,4.41046676850011,1.69
"P_XGBoost",66,2017,4.23616250998391,1.69
"P_XGBoost",1,2018,3.83269244640667,1.70000000000002
"P_XGBoost",2,2018,6.11882575478281,1.69
"P_XGBoost",3,2018,4.04466777131095,1.70999999999998
"P_XGBoost",4,2018,4.61402187289623,1.69999999999999
"P_XGBoost",5,2018,3.48166562019269,1.72
"P_XGBoost",6,2018,2.9756446100308,1.69
"P_XGBoost",7,2018,4.23210923677219,1.68000000000001
"P_XGBoost",8,2018,3.38039865488848,1.67000000000002
"P_XGBoost",9,2018,4.46338387763611,1.71000000000001
"P_XGBoost",10,2018,3.53660902535767,1.69
"P_XGBoost",11,2018,3.93285018057147,1.71000000000001
"P_XGBoost",12,2018,4.65091169324983,1.77000000000001
"P_XGBoost",13,2018,3.76503169648017,1.68000000000001
"P_XGBoost",14,2018,3.91375153065829,1.69999999999999
"P_XGBoost",15,2018,2.80795289669426,1.72999999999999
"P_XGBoost",16,2018,2.6473709054277,1.71000000000001
"P_XGBoost",17,2018,5.96688637242012,1.69999999999999
"P_XGBoost",18,2018,2.20197344504364,1.69999999999999
"P_XGBoost",19,2018,3.19709655494768,1.69
"P_XGBoost",20,2018,3.4176648818775,1.72
"P_XGBoost",21,2018,2.43092349572664,1.69999999999999
"P_XGBoost",22,2018,3.05608310660511,1.69
"P_XGBoost",23,2018,3.79452193280144,1.69
"P_XGBoost",24,2018,3.20976519593722,1.69999999999999
"P_XGBoost",25,2018,2.90797820670007,1.67999999999998
"P_XGBoost",26,2018,3.69270447717322,1.72
"P_XGBoost",27,2018,3.15830852656295,1.69
"P_XGBoost",28,2018,3.23756157401987,1.70999999999998
"P_XGBoost",29,2018,3.18419289878296,1.69
"P_XGBoost",30,2018,2.89125137949367,1.70000000000002
"P_XGBoost",31,2018,3.11243921275854,1.71000000000001
"P_XGBoost",32,2018,4.02620256586992,1.69
"P_XGBoost",33,2018,4.12116096622617,1.69
"P_XGBoost",34,2018,5.01426073118239,1.81999999999999
"P_XGBoost",35,2018,3.77568554731475,1.81
"P_XGBoost",36,2018,3.76631480904309,1.78
"P_XGBoost",37,2018,3.77005701451718,1.78
"P_XGBoost",38,2018,4.88627459446174,1.81999999999999
"P_XGBoost",39,2018,5.04410390008512,1.82999999999998
"P_XGBoost",40,2018,5.03834499696868,1.70000000000002
"P_XGBoost",41,2018,4.65433822175116,1.70000000000002
"P_XGBoost",42,2018,3.29747104825347,1.75
"P_XGBoost",43,2018,4.19271974551345,1.72
"P_XGBoost",44,2018,6.05990290284161,1.85999999999999
"P_XGBoost",45,2018,3.77280805893418,1.77000000000001
"P_XGBoost",46,2018,2.94944041772758,1.80000000000001
"P_XGBoost",48,2018,5.01863402527924,1.82999999999998
"P_XGBoost",49,2018,5.144841059806,1.70000000000002
"P_XGBoost",50,2018,3.42315207616083,1.69999999999999
